smiles,affinity_nM,pAff,affinity_type,uniprot_id,target_name,organism,ligand_name,ligand_id,pmid,scaffold
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C/c1cn2CCOCc2n1,0.4,9.397940008672037,IC50,P62593,Beta-lactamase TEM,,"CHEMBL212163::sodium (R,E)-6-((6,8-dihydro-5H-imidazo[2,1-c][1,4]oxazin-2-yl)methylene)-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50191378,16854068.0,O=C1C(=Cc2cn3c(n2)COCC3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cnc2COCCn12,0.4,9.397940008672037,IC50,P62593,Beta-lactamase TEM,,"CHEMBL263746::Sodium; (R)-6-[1-(5,6-dihydro-8H-imidazo[2,1-c][1,4]oxazin-3-yl)-meth-(Z)-ylidene]-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50149468,15214794.0,O=C1C(=Cc2cnc3n2CCOC3)C2SC=CN12
CC1=C[C@H](N2C[C@@H]1N(OC(F)(F)C(O)=O)C2=O)C(N)=O,0.47,9.327902142064282,IC50,P62593,Beta-lactamase TEM,,"2-(((2S,5R)-2-carbamoyl-4-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)-2,2-difluoroacetic acid lithium salt::US10800778, Example 91",467000,,O=C1NC2C=CCN1C2
ICC1CC(C(=O)O1)=C1O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,0.95,9.234260541478871,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 41::US9120808, Example 42",178163,,O=C1OCCC1=C1OC2CC(=O)N2C1C(=O)OCc1ccccc1
CC1C\C(C(=O)O1)=C1/O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,1.05,9.08374554364688,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 46::US9120808, Example 47",178167,,O=C1OCCC1=C1OC2CC(=O)N2C1C(=O)OCc1ccccc1
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cn2c3CCCc3sc2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-(6,7-dihydro-5H-cyclopenta-[d]imidazo[2,1-b][1,3]thiazol-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium::CHEMBL122450::Sodium; (R)-6-[1-(6,7-dihydro-5H-cyclopenta[d]imidazo[2,1-b]thiazol-2-yl)-meth-(Z)-ylidene]-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate::sodium (R)-6-[1-(6,7-dihydro-5H-cyclopenta[d]imidazo[2,1-b]thiazol-2-yl)-meth-(Z)-ylidene]-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50149467,15214794.0;15588091.0,O=C1C(=Cc2cn3c4c(sc3n2)CCC4)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CSCCn2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"(5R)(6Z)-6-(6,7-dihydro-4H-pyrazolo[5,1-c][1,4]-thiazin-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL212760",50191379,16854068.0,O=C1C(=Cc2cc3n(n2)CCSC3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CNCCn2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"(5R),(6Z)-7-oxo-6-(4,5,6,7-tetrahydropyrazolo[1,5-a]-pyrazin-2-ylmethylene)-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL379856",50191377,16854068.0,O=C1C(=Cc2cc3n(n2)CCNC3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CN(CCc2s1)c1cc2COCCc2s1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"6-(6,7-dihydro-4H-thieno[3,2-c]pyran-2-ylmethylene)-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylicacid sodium salt::CHEMBL380061",50191389,16854068.0,O=C1C(=Cc2cc3c(s2)CCN(c2cc4c(s2)CCOC4)C3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CCCn2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"CHEMBL124416::Sodium; (R)-6-[1-(5,6-dihydro-4H-pyrrolo[1,2-b]pyrazol-2-yl)-meth-(Z)-ylidene]-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50149466,15214794.0,O=C1C(=Cc2cc3n(n2)CCC3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CS(=O)(=O)CCn2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"(5R),(6Z)-6-(5,5-dioxo-4,5,6,7-tetrahydro-5'6-pyrazolo[5,1-c][1,4]thiazin-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL378119",50191390,16854068.0,O=C1C(=Cc2cc3n(n2)CCS(=O)(=O)C3)C2SC=CN12
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2O[C@H](F)C(O)=O,1.3,8.886056647693163,IC50,P62593,Beta-lactamase TEM,,"US10800778, Comparator 98",467003,,O=C1NC2CCCN1C2
CC1=C[C@@H]2CN([C@@H]1C(N)=O)C(=O)N2O[C@H](F)C(O)=O,1.35,8.869666231504993,IC50,P62593,Beta-lactamase TEM,,"(2R)-{[(2S,5R)-2-carbamoyl-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy}(fluoro)ethanoic acid lithium salt::US10800778, Example 4",466965,,O=C1NC2C=CCN1C2
OC(=O)C(CC=CCN(Cc1ccccc1)C(=O)OCc1ccccc1)=C1O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,1.4,8.853871964321762,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 58",178215,,O=C(OCc1ccccc1)C1C(=CCC=CCN(Cc2ccccc2)C(=O)OCc2ccccc2)OC2CC(=O)N21
CC1=C[C@@H]2CN([C@@H]1C(N)=O)C(=O)N2OC(F)(F)C(O)=O,1.5,8.823908740944319,IC50,P62593,Beta-lactamase TEM,,"US10800778, Example 8::{[(2S,5R)-2-carbamoyl-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy}(difluoro)acetic acid lithium salt",466967,,O=C1NC2C=CCN1C2
CC1C\C(C(=O)O1)=C1/O[C@@H]2CC(=O)N2C1C(O)=O,1.8,8.744727494896694,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 49",178170,,O=C1OCCC1=C1CN2C(=O)CC2O1
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(O)(=O)=O,1.9,8.721246399047171,IC50,P62593,Beta-lactamase TEM,,"CHEMBL1689063::trans-7-oxo-6-(sulfooxy)-1,6-diazabicyclo[3.2.1]octan-2-carboxamide",50339145,33744439.0,O=C1NC2CCCN1C2
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CCCCn2n1,2.0,8.698970004336019,IC50,P62593,Beta-lactamase TEM,,"(5R)(6Z)-7-oxo-6-(4,5,6,7-tetrahydropyrazolo-[1,5-a]pyridin-2-ylmethylene)-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL385593",50191386,16854068.0,O=C1C(=Cc2cc3n(n2)CCCC3)C2SC=CN12
COc1ccc(CN2CCc3sc(\C=C4/[C@H]5SC=C(N5C4=O)C([O-])=O)cc3C2)cc1,2.0,8.698970004336019,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-{[5-(4-methoxybenzyl)-4,5,6,7-tetrahydrothieno[3,2-c]pyridin-2-yl)]methylene}-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL378041",50191381,16854068.0,O=C1C(=Cc2cc3c(s2)CCN(Cc2ccccc2)C3)C2SC=CN12
[N-]=[N+]=NCC1C\C(C(=O)O1)=C1/O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,2.4,8.619788758288394,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 48",178169,,O=C1OCCC1=C1OC2CC(=O)N2C1C(=O)OCc1ccccc1
NCc1ccc(cc1)C(=O)N[C@H]1Cc2cccc(C(O)=O)c2OB1O,3.0,8.522878745280337,IC50,P62593,Beta-lactamase TEM,,CHEMBL4533632,50505403,31454231.0,O=C(NC1BOc2ccccc2C1)c1ccccc1
Cc1ccc2c(c1)sc1nc(\C=C3/[C@H]4SC=C(N4C3=O)C(=O)O[Na])cn21,3.0,8.522878745280337,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-[(7-methylimidazo[2,1-b][1,3]-benzothiazol-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo-[3.2.0]hept-2-ene-2-carboxylic acid sodium::CHEMBL222375",50157688,15588091.0,O=C1C(=Cc2cn3c(n2)sc2ccccc23)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cn2CCSCc2n1,3.0,8.522878745280337,IC50,P62593,Beta-lactamase TEM,,"(5R),(6Z)-6-(5,6-dihydro-8H-imidazo[2,1-c]-[1,4]thiazin-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL425963",50191383,16854068.0,O=C1C(=Cc2cn3c(n2)CSCC3)C2SC=CN12
CC(=O)C=C1[C@H]2SC(C)(C)[C@@H](N2C1=O)C([O-])=O,3.0,8.522878745280337,IC50,P62593,Beta-lactamase TEM,,"CHEMBL35987::Sodium; (2S,5R)-3,3-dimethyl-7-oxo-6-[2-oxo-prop-(Z)-ylidene]-4-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate",50284790,,C=C1C(=O)N2CCSC12
CC1=C[C@H](N2C[C@@H]1N(O[C@H](F)C(O)=O)C2=O)C(N)=O,3.2,8.494850021680094,IC50,P62593,Beta-lactamase TEM,,"(2R)-2-(((2S,5R)-2-carbamoyl-4-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)-2-fluoroacetic acid lithium salt::US10800778, Example 33",466972,,O=C1NC2C=CCN1C2
NC(=O)[C@H]1N2C[C@@H](C=C1C1CC1)N(O[C@H](F)C(O)=O)C2=O,3.5,8.455931955649724,IC50,P62593,Beta-lactamase TEM,,"(2R)-2-(((2S,5R)-2-carbamoyl-3-cyclopropyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)-2-fluoroacetic acid lithium salt::US10800778, Example 41",466974,,O=C1NC2C=C(C3CC3)CN1C2
COC(=O)C1N2[C@@H](CC2=O)O\C1=C1/CC(CI)OC1=O,3.5,8.455931955649724,IC50,P62593,Beta-lactamase TEM,,"US9120808, Mixture of Example 43 and Example 44",178165,,O=C1OCCC1=C1CN2C(=O)CC2O1
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2COCCn2n1,4.0,8.397940008672037,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-(6,7-dihydro-4H-pyrazolo[5,1-c]-[1,4]oxazin-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL377382",50191385,16854068.0,O=C1C(=Cc2cc3n(n2)CCOC3)C2SC=CN12
CN1CCn2cc(\C=C3/[C@H]4SC=C(N4C3=O)C([O-])=O)nc2C1,4.0,8.397940008672037,IC50,P62593,Beta-lactamase TEM,,"(5R),(6Z)-6-(7-methyl-5,6,7,8-tetrahydroimidazo[1,2-a]pyrazin-2-ylmethylene)-7-oxo-4-thia-1-aza-bicyclo-[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL212478",50191387,16854068.0,O=C1C(=Cc2cn3c(n2)CNCC3)C2SC=CN12
CC1CC(C(=O)O1)=C1O[C@@H]2CC(=O)N2C1C(O)=O,4.2,8.3767507096021,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 50",178171,,O=C1OCCC1=C1CN2C(=O)CC2O1
CC1=C[C@@H]2CN([C@@H]1C(N)=O)C(=O)N2OC(F)C(O)=O,4.4,8.356547323513812,IC50,P62593,Beta-lactamase TEM,,"US10800778, Example 5::{[(2S,5R)-2-carbamoyl-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy}(fluoro)acetic acid lithium salt (mixture of diastereomers)",466966,,O=C1NC2C=CCN1C2
CC(=O)OCC1=C(N2[C@@H](\C(=C/C(=O)OC(C)(C)C)C2=O)S(=O)(=O)C1)C([O-])=O,5.0,8.301029995663981,IC50,P62593,Beta-lactamase TEM,,"CHEMBL268919::Sodium; (R)-3-acetoxymethyl-7-[1-tert-butoxycarbonyl-meth-(Z)-ylidene]-5,5,8-trioxo-5lambda*6*-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylate",50033680,7699694.0,C=C1C(=O)N2C=CCS(=O)(=O)C12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C/c1cn2CCNCc2n1,5.0,8.301029995663981,IC50,P62593,Beta-lactamase TEM,,"CHEMBL379440::sodium (R,E)-7-oxo-6-((5,6,7,8-tetrahydroimidazo[1,2-a]pyrazin-2-yl)methylene)-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50191380,16854068.0,O=C1C(=Cc2cn3c(n2)CNCC3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2OCCCn2n1,6.0,8.221848749616356,IC50,P62593,Beta-lactamase TEM,,"(5R)(6Z)-6-(6,7-5H-dihydropyrazolo[5,1-b]-oxazin-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL377001",50191388,16854068.0,O=C1C(=Cc2cc3n(n2)CCCO3)C2SC=CN12
C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H]([C@H](CO)C2=O)S1(=O)=O)C([O-])=O,6.0,8.221848749616356,IC50,P62593,Beta-lactamase TEM,,"CHEMBL6533::Sodium; (2S,3S,5R,6R)-6-hydroxymethyl-3-methyl-4,4,7-trioxo-3-[1,2,3]triazol-1-ylmethyl-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate",50076683,10230627.0,O=C1CC2N1CC(Cn1ccnn1)S2(=O)=O
[Na]OC(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cn2c(n1)sc1cc(Cl)ccc21,6.0,8.221848749616356,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-[(7-chloroimidazo[2,1-b][1,3]-benzothiazol-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo-[3.2.0]hept-2-ene-2-carboxylic acid sodium::CHEMBL388778",50157693,15588091.0,O=C1C(=Cc2cn3c(n2)sc2ccccc23)C2SC=CN12
Fc1ccc2c(c1)sc1nc(\C=C3/[C@H]4SC=C(N4C3=O)C(=O)O[Na])cn21,8.0,8.096910013008056,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-[(7-fluoroimidazo[2,1-b][1,3]-benzothiazol-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo-[3.2.0]hept-2-ene-2-carboxylic acid sodium::CHEMBL222922",50157694,15588091.0,O=C1C(=Cc2cn3c(n2)sc2ccccc23)C2SC=CN12
Cc1cccc2sc3nc(\C=C4/[C@H]5SC=C(N5C4=O)C(=O)O[Na])cn3c12,9.0,8.045757490560675,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-[(5-methylimidazo[2,1-b][1,3]-benzothiazol-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo-[3.2.0]hept-2-ene-2-carboxylic acid sodium::CHEMBL222866",50157687,15588091.0,O=C1C(=Cc2cn3c(n2)sc2ccccc23)C2SC=CN12
OC(=O)C(CC=Cc1ccccc1)=C1O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,9.2,8.036212172654444,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 26",178201,,O=C(OCc1ccccc1)C1C(=CCC=Cc2ccccc2)OC2CC(=O)N21
[Na]OC(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cn2c(n1)sc1ccccc21,10.0,8.0,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-(imidazo[2,1-b][1,3]benzothiazol-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium::CHEMBL222758",50157689,15588091.0,O=C1C(=Cc2cn3c(n2)sc2ccccc23)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CN(Cc3cccnc3)CCc2s1,10.0,8.0,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-7-oxo-6-{[5-(pyridin-3-ylmethyl)-4,5,6,7-tetrahydrothieno[3,2-c]pyridin-2-yl)]methylene}-7oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL211143",50191382,16854068.0,O=C1C(=Cc2cc3c(s2)CCN(Cc2cccnc2)C3)C2SC=CN12
OB(O)c1cc2cc(CNc3ccc(Cl)c(Cl)c3)ccc2s1,10.0,8.0,Ki,P62593,Beta-lactamase TEM,,"CHEMBL396872::pinacol 5-[(3,4-dichlorophenylamino)methyl]benzo[b]thiophen-2-ylboronate",50225373,17956081.0,c1ccc(NCc2ccc3sccc3c2)cc1
C[C@]1(CSc2nc3ccccc3o2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,10.5,7.978810700930062,IC50,P62593,Beta-lactamase TEM,,CHEMBL309009,50212634,,O=C1CC2N1CC(CSc1nc3ccccc3o1)S2(=O)=O
COC(=O)C1N2[C@@H](CC2=O)OC1=C(CCCc1ccccc1)C(=O)OC,10.6,7.97469413473523,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 57",178214,,O=C1CC2OC(=CCCCc3ccccc3)CN12
CCCCO[C@@H]1CCC[C@H]2[C@H]3N(C(=O)\C3=C\C)C(C([O-])=O)=C12,12.0,7.920818753952375,IC50,P62593,Beta-lactamase TEM,,"CHEMBL396998::sodium (8R,9R)-10(S)-[1(R)-hydroxyethyl]-4(R)-butoxy-11-oxo-1-azatricyclo[7.2.0 .03,8]undec-2-enecarboxylate",50218932,17665896.0,C=C1C(=O)N2C=C3CCCCC3C12
CC1(C)S[C@@H]2[C@H](Br)C(=O)N2[C@H]1C(O)=O,14.3,7.844663962534939,IC50,P62593,Beta-lactamase TEM,,Brobactam,50212641,,O=C1CC2SCCN12
Cn1ccnc1SC[C@]1(C)S[C@@H]2[C@H](Br)C(=O)N2[C@H]1C(O)=O,15.3,7.815308569182402,IC50,P62593,Beta-lactamase TEM,,CHEMBL73450,50212644,,O=C1CC2SC(CSc3ncc[nH]3)CN12
Cn1nnnc1SC[C@@]1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,17.3,7.761953896871205,IC50,P62593,Beta-lactamase TEM,,CHEMBL302512,50212638,,O=C1CC2N1CC(CSc1nnn[nH]1)S2(=O)=O
C\C=C1/[C@H]2[C@H]3CCC[C@H](OCCC#N)C3=C(N2C1=O)C([O-])=O,18.0,7.7447274948966935,IC50,P62593,Beta-lactamase TEM,,"CHEMBL397438::sodium (8S,9R)-10(E)-ethylidene-4(S)-(2'-cyanoethoxy)-11-oxo-1-azatricyclo[7.2.0.03, 8]undec-2-enecarboxylate",50218936,17665896.0,C=C1C(=O)N2C=C3CCCCC3C12
COc1ccc2c(c1)sc1nc(\C=C3/[C@H]4SC=C(N4C3=O)C(=O)O[Na])cn21,18.0,7.7447274948966935,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-[(7-methoxyimidazo[2,1-b][1,3]-benzothiazol-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]-hept-2-ene-2-carboxylic acid sodium::CHEMBL375172",50157691,15588091.0,O=C1C(=Cc2cn3c(n2)sc2ccccc23)C2SC=CN12
CC1=C[C@@H]2CN([C@@H]1C(N)=O)C(=O)N2O[C@@H](F)C(O)=O,19.0,7.721246399047171,IC50,P62593,Beta-lactamase TEM,,"(2S)-{[(2S,5R)-2-carbamoyl-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy}(fluoro)ethanoic acid lithium salt::US10800778, Example 3",466964,,O=C1NC2C=CCN1C2
C[C@]1(\C=C/C#N)[C@@H](N2[C@@H]([C@H](CO)C2=O)S1(=O)=O)C([O-])=O,19.0,7.721246399047171,IC50,P62593,Beta-lactamase TEM,,"CHEMBL6469::Sodium; (2S,3S,5R,6R)-3-((Z)-2-cyano-vinyl)-6-hydroxymethyl-3-methyl-4,4,7-trioxo-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate",50076681,10230627.0,O=C1CC2N1CCS2(=O)=O
C\C=C1/[C@H]2[C@H]3CCC[C@H](OCCF)C3=C(N2C1=O)C([O-])=O,21.0,7.6777807052660805,IC50,P62593,Beta-lactamase TEM,,"CHEMBL395017::sodium (8S,9R)-10(E)-ethylidene-4(S)-(2'-fluoroethoxy)-11-oxo-1-azatricyclo[7.2.0.03, 8]undec-2-enecarboxylate",50218934,17665896.0,C=C1C(=O)N2C=C3CCCCC3C12
C[C@@]1(CSc2nc[nH]n2)S[C@@H]2[C@H](Br)C(=O)N2[C@H]1C(O)=O,21.1,7.675717544702307,IC50,P62593,Beta-lactamase TEM,,CHEMBL305908,50212645,,O=C1CC2SC(CSc3nc[nH]n3)CN12
COC(=O)C1N2[C@@H](CC2=O)OC1=C(CC=Cc1ccccc1)C(O)=O,21.7,7.663540266151471,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 34",178203,,O=C1CC2OC(=CCC=Cc3ccccc3)CN12
CCO[C@@H]1CCC[C@H]2[C@H]3N(C(=O)\C3=C\C)C(C([O-])=O)=C12,22.0,7.657577319177793,IC50,P62593,Beta-lactamase TEM,,"CHEMBL230859::sodium (8R,9R)-10(E)-ethylidene-4(R)-ethoxy-11-oxo-1-azatricyclo[7.2.0.03,8]undec-2 -enecarboxylate",50218933,17665896.0,C=C1C(=O)N2C=C3CCCCC3C12
